FlightName,SourceName_From,Destination,Dep_From,Arrivel,TotalStops,Duration,Price
"Qatar Airways, Vistara",Sharjah,Mumbai,11:20,09:00,"2 stop via Doha,Chennai",20 h 10 m,"AED 1,310AED 1,285"
"Emirates, Vistara",Dubai,Mumbai,14:50,11:40,1 stop via Chennai,19 h 20 m,"AED 1,389AED 1,364"
Ethiopian Airlines,Dubai,Mumbai,17:10,08:30,1 stop via Addis Ababa,13 h 50 m,"AED 1,418AED 1,393"
"Qatar Airways, Vistara",Sharjah,Mumbai,17:45,08:15,"2 stop via Doha,Bengaluru",13 h,"AED 1,440AED 1,415"
"Qatar Airways, Vistara",Sharjah,Mumbai,17:45,11:25,"2 stop via Doha,Bengaluru",16 h 10 m,"AED 1,440AED 1,415"
,,,,,,,
,,,,,,,
Ethiopian Airlines,Dubai,Mumbai,05:40,02:05,1 stop via Addis Ababa,18 h 55 m,"AED 1,668AED 1,643"
,,,,,,,
Ethiopian Airlines,Dubai,Mumbai,05:40,08:30,1 stop via Addis Ababa,25 h 20 m,"AED 1,668AED 1,643"
Ethiopian Airlines,Dubai,Mumbai,04:25,08:30,1 stop via Addis Ababa,26 h 35 m,"AED 1,668AED 1,643"
Jazeera Airways,Dubai,Mumbai,16:45,03:00,1 stop via Kuwait,08 h 45 m,"AED 1,708AED 1,683"
Turkish Airlines,Abu Dhabi,Mumbai,01:40,04:45,1 stop via Istanbul,25 h 35 m,"AED 1,780AED 1,755"
,,,,,,,
,,,,,,,
,,,,,,,
Kuwait Airways,Dubai,Mumbai,05:35,05:20,1 stop via Kuwait,22 h 15 m,"AED 1,785AED 1,760"
"Qatar Airways, Vistara",Sharjah,Mumbai,17:45,08:40,"2 stop via Doha,Hyderabad",13 h 25 m,"AED 1,800AED 1,775"
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,11:20,08:40,"2 stop via Doha,Hyderabad",19 h 50 m,"AED 1,800AED 1,775"
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,11:20,10:00,"2 stop via Doha,Hyderabad",21 h 10 m,"AED 1,800AED 1,775"
,,,,,,,
,,,,,,,
Air India,Dubai,Mumbai,00:05,09:05,1 stop via New Delhi,07 h 30 m,"AED 1,804AED 1,779"
,,,,,,,
,,,,,,,
Turkish Airlines,Dubai,Mumbai,11:00,04:45,1 stop via Istanbul,16 h 15 m,"AED 1,820AED 1,795"
Saudia,Abu Dhabi,Mumbai,15:10,06:45,1 stop via Riyadh,14 h 05 m,"AED 1,995AED 1,970"
,,,,,,,
,,,,,,,
Kuwait Airways,Dubai,Mumbai,18:55,05:20,1 stop via Kuwait,08 h 55 m,"AED 2,055AED 2,030"
Kuwait Airways,Dubai,Mumbai,13:10,05:20,1 stop via Kuwait,14 h 40 m,"AED 2,105AED 2,080"
Air India,Dubai,Mumbai,20:50,09:05,1 stop via New Delhi,10 h 45 m,"AED 2,134AED 2,109"
,,,,,,,
,,,,,,,
Gulf Air,Abu Dhabi,Mumbai,09:05,20:55,1 stop via Bahrain,10 h 20 m,"AED 2,173AED 2,148"
Gulf Air,Abu Dhabi,Mumbai,09:05,04:55,1 stop via Bahrain,18 h 20 m,"AED 2,173AED 2,148"
Air India,Dubai,Mumbai,00:05,23:40,"2 stop via New Delhi,Chennai",22 h 05 m,"AED 2,482AED 2,457"
Air India,Dubai,Mumbai,00:05,23:40,"2 stop via New Delhi,Chennai",22 h 05 m,"AED 2,482AED 2,457"
Air India,Dubai,Mumbai,00:05,10:15,"2 stop via New Delhi,Chennai",32 h 40 m,"AED 2,482AED 2,457"
,,,,,,,
,,,,,,,
Kuwait Airways,Dubai,Mumbai,18:55,01:05,1 stop via Kuwait,28 h 40 m,"AED 2,515AED 2,490"
Kuwait Airways,Abu Dhabi,Mumbai,01:35,05:20,1 stop via Kuwait,26 h 15 m,"AED 2,575AED 2,550"
EgyptAir,Abu Dhabi,Mumbai,16:55,02:00,1 stop via Cairo,31 h 35 m,"AED 2,729AED 2,704"
,,,,,,,
,,,,,,,
Saudia,Dubai,Mumbai,20:30,06:45,1 stop via Riyadh,08 h 45 m,"AED 2,745AED 2,720"
Air India,Dubai,Mumbai,23:30,10:15,1 stop via Chennai,09 h 15 m,"AED 3,234AED 3,209"
"Qatar Airways, Vistara",Sharjah,Mumbai,17:45,07:55,"2 stop via Doha,New Delhi",12 h 40 m,"AED 4,170AED 4,145"
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,21:30,12:35,"2 stop via Doha,New Delhi",13 h 35 m,"AED 4,170AED 4,145"
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,17:45,11:35,"2 stop via Doha,New Delhi",16 h 20 m,"AED 4,170AED 4,145"
,,,,,,,
,,,,,,,
,,,,,,,
"Qatar Airways, Vistara",Sharjah,Mumbai,21:30,16:30,"2 stop via Doha,New Delhi",17 h 30 m,"AED 4,170AED 4,145"
,,,,,,,
,,,,,,,
"Etihad Airways, Vistara",Abu Dhabi,Mumbai,14:35,23:40,1 stop via New Delhi,07 h 35 m,"AED 4,694AED 4,669"
,,,,,,,
,,,,,,,
